,width,height,file_name,license,flickr_url,coco_url,date_captured,category_id,area,bbox,iscrowd,id
0,1024,1024,train/0000.jpg,0,NaN,NaN,2020-12-26 14:44:23,0,257301.66,"[197.6, 193.7, 547.8, 469.7]",0,0
1,1024,1024,train/0001.jpg,0,NaN,NaN,2021-01-10 16:30:39,3,10402.56,"[0.0, 407.4, 57.6, 180.6]",0,1
1,1024,1024,train/0001.jpg,0,NaN,NaN,2021-01-10 16:30:39,7,26259.36,"[0.0, 455.6, 144.6, 181.6]",0,2
1,1024,1024,train/0001.jpg,0,NaN,NaN,2021-01-10 16:30:39,4,69096.17,"[722.3, 313.4, 274.3, 251.9]",0,3
1,1024,1024,train/0001.jpg,0,NaN,NaN,2021-01-10 16:30:39,5,24164.58,"[353.2, 671.0, 233.7, 103.4]",0,4
1,1024,1024,train/0001.jpg,0,NaN,NaN,2021-01-10 16:30:39,5,188324.4,"[3.7, 448.5, 778.2, 242.0]",0,5
1,1024,1024,train/0001.jpg,0,NaN,NaN,2021-01-10 16:30:39,0,38908.72,"[425.3, 681.9, 216.4, 179.8]",0,6
1,1024,1024,train/0001.jpg,0,NaN,NaN,2021-01-10 16:30:39,7,7391.52,"[92.4, 601.7, 139.2, 53.1]",0,7
1,1024,1024,train/0001.jpg,0,NaN,NaN,2021-01-10 16:30:39,0,6857.76,"[622.4, 686.5, 72.8, 94.2]",0,8
2,1024,1024,train/0002.jpg,0,NaN,NaN,2020-12-27 17:55:52,3,324010.8,"[267.9, 165.2, 631.6, 513.0]",0,9
3,1024,1024,train/0003.jpg,0,NaN,NaN,2021-03-31 12:10:36,2,59550.94,"[462.2, 369.4, 233.9, 254.6]",0,10
3,1024,1024,train/0003.jpg,0,NaN,NaN,2021-03-31 12:10:36,6,80710.56,"[773.3, 3.0, 188.4, 428.4]",0,11
4,1024,1024,train/0004.jpg,0,NaN,NaN,2021-01-01 18:52:38,1,14768.88,"[567.5, 462.2, 165.2, 89.4]",0,12
4,1024,1024,train/0004.jpg,0,NaN,NaN,2021-01-01 18:52:38,1,32987.78,"[859.4, 411.7, 164.2, 200.9]",0,13
4,1024,1024,train/0004.jpg,0,NaN,NaN,2021-01-01 18:52:38,1,32747.0,"[362.0, 349.7, 130.0, 251.9]",0,14
4,1024,1024,train/0004.jpg,0,NaN,NaN,2021-01-01 18:52:38,1,54208.4,"[392.5, 348.4, 212.0, 255.7]",0,15
4,1024,1024,train/0004.jpg,0,NaN,NaN,2021-01-01 18:52:38,1,57900.45,"[482.2, 491.4, 277.7, 208.5]",0,16
4,1024,1024,train/0004.jpg,0,NaN,NaN,2021-01-01 18:52:38,0,4523.64,"[868.2, 521.7, 101.2, 44.7]",0,17
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,7,41210.0,"[0.0, 148.3, 317.0, 130.0]",0,18
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,0,12162.85,"[320.0, 233.7, 182.9, 66.5]",0,19
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,0,10264.35,"[297.7, 212.6, 166.9, 61.5]",0,20
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,0,747.25,"[329.8, 203.2, 42.7, 17.5]",0,21
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,5,3857.61,"[979.0, 173.0, 44.7, 86.3]",0,22
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,5,12551.8,"[894.3, 425.4, 129.4, 97.0]",0,23
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,7,8202.18,"[803.6, 282.4, 82.6, 99.3]",0,24
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,7,72245.76,"[489.7, 158.0, 441.6, 163.6]",0,25
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,7,17714.61,"[837.8, 263.6, 134.1, 132.1]",0,26
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,7,27124.88,"[799.8, 392.4, 163.6, 165.8]",0,27
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,7,73950.6,"[631.9, 237.2, 208.9, 354.0]",0,28
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,7,7963.68,"[948.5, 0.0, 75.2, 105.9]",0,29
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,7,229774.6,"[55.5, 0.0, 961.4, 239.0]",0,30
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,1,4798.99,"[68.1, 66.5, 125.3, 38.3]",0,31
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,1,16733.1,"[181.2, 70.3, 173.4, 96.5]",0,32
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,7,143643.78,"[0.0, 129.3, 333.9, 430.2]",0,33
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,1,283065.78,"[60.6, 271.2, 605.1, 467.8]",0,34
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,1,172289.5,"[104.6, 278.6, 543.5, 317.0]",0,35
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,0,3099.12,"[98.5, 612.3, 69.8, 44.4]",0,36
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,1,110969.7,"[495.7, 627.6, 345.7, 321.0]",0,37
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,5,3693.89,"[925.5, 97.3, 52.1, 70.9]",0,38
5,1024,1024,train/0005.jpg,0,NaN,NaN,2021-01-02 16:48:22,0,7761.0,"[471.4, 422.3, 130.0, 59.7]",0,39
6,1024,1024,train/0006.jpg,0,NaN,NaN,2020-12-27 17:09:20,1,222913.17,"[351.7, 269.9, 398.7, 559.1]",0,40
7,1024,1024,train/0007.jpg,0,NaN,NaN,2021-03-27 13:33:26,9,358485.73,"[109.0, 104.7, 751.7, 476.9]",0,41
7,1024,1024,train/0007.jpg,0,NaN,NaN,2021-03-27 13:33:26,9,391485.88,"[95.4, 438.7, 708.7, 552.4]",0,42
8,1024,1024,train/0008.jpg,0,NaN,NaN,2020-12-27 17:12:18,6,251634.04,"[51.8, 0.0, 635.6, 395.9]",0,43
8,1024,1024,train/0008.jpg,0,NaN,NaN,2020-12-27 17:12:18,0,5884.18,"[74.8, 258.0, 246.2, 23.9]",0,44
8,1024,1024,train/0008.jpg,0,NaN,NaN,2020-12-27 17:12:18,7,87462.75,"[170.3, 0.0, 415.5, 210.5]",0,45
8,1024,1024,train/0008.jpg,0,NaN,NaN,2020-12-27 17:12:18,7,67004.52,"[0.0, 161.8, 101.2, 662.1]",0,46
8,1024,1024,train/0008.jpg,0,NaN,NaN,2020-12-27 17:12:18,7,22753.44,"[86.0, 0.0, 183.2, 124.2]",0,47
8,1024,1024,train/0008.jpg,0,NaN,NaN,2020-12-27 17:12:18,7,40690.68,"[0.0, 0.0, 192.3, 211.6]",0,48
8,1024,1024,train/0008.jpg,0,NaN,NaN,2020-12-27 17:12:18,7,559347.65,"[44.4, 135.9, 745.3, 750.5]",0,49
9,1024,1024,train/0009.jpg,0,NaN,NaN,2020-12-26 14:32:48,2,168024.78,"[308.4, 281.3, 404.1, 415.8]",0,50
10,1024,1024,train/0010.jpg,0,NaN,NaN,2021-04-29 15:32:08,0,102452.04,"[377.9, 255.0, 368.4, 278.1]",0,51
11,1024,1024,train/0011.jpg,0,NaN,NaN,2020-12-26 10:24:47,0,13126.08,"[446.6, 445.2, 96.8, 135.6]",0,52
12,1024,1024,train/0012.jpg,0,NaN,NaN,2020-12-24 18:21:29,1,396229.4,"[146.0, 441.9, 775.4, 511.0]",0,53
12,1024,1024,train/0012.jpg,0,NaN,NaN,2020-12-24 18:21:29,1,53411.04,"[274.8, 540.1, 383.7, 139.2]",0,54
12,1024,1024,train/0012.jpg,0,NaN,NaN,2020-12-24 18:21:29,1,94348.24,"[276.3, 334.6, 356.3, 264.8]",0,55
13,1024,1024,train/0013.jpg,0,NaN,NaN,2020-12-31 23:57:47,6,16522.19,"[99.9, 58.9, 139.9, 118.1]",0,56
