,image_id,class_id,x_min,y_min,w,h
0,0,0,197.6,193.7,547.8,469.7
1,1,7,0.0,455.6,144.6,181.6
2,1,4,722.3,313.4,274.3,251.9
3,1,5,353.2,671.0,233.7,103.4
4,1,5,3.7,448.5,778.2,242.0
5,1,0,425.3,681.9,216.4,179.8
6,1,7,92.4,601.7,139.2,53.1
7,2,3,267.9,165.2,631.6,513.0
8,3,2,462.2,369.4,233.9,254.6
9,3,6,773.3,3.0,188.4,428.4
10,4,1,567.5,462.2,165.2,89.4
11,4,1,859.4,411.7,164.2,200.9
12,4,1,362.0,349.7,130.0,251.9
13,4,1,392.5,348.4,212.0,255.7
14,4,1,482.2,491.4,277.7,208.5
15,4,0,868.2,521.7,101.2,44.7
16,5,0,320.0,233.7,182.9,66.5
17,5,0,297.7,212.6,166.9,61.5
18,5,0,329.8,203.2,42.7,17.5
19,5,5,979.0,173.0,44.7,86.3
20,5,5,894.3,425.4,129.4,97.0
21,5,7,803.6,282.4,82.6,99.3
22,5,7,489.7,158.0,441.6,163.6
23,5,7,837.8,263.6,134.1,132.1
24,5,7,799.8,392.4,163.6,165.8
25,5,7,631.9,237.2,208.9,354.0
26,5,7,55.5,0.0,961.4,239.0
27,5,1,68.1,66.5,125.3,38.3
28,5,1,181.2,70.3,173.4,96.5
29,5,7,0.0,129.3,333.9,430.2
30,5,1,60.6,271.2,605.1,467.8
31,5,1,104.6,278.6,543.5,317.0
32,5,0,98.5,612.3,69.8,44.4
33,5,1,495.7,627.6,345.7,321.0
34,5,0,471.4,422.3,130.0,59.7
35,6,1,351.7,269.9,398.7,559.1
36,7,9,109.0,104.7,751.7,476.9
37,7,9,95.4,438.7,708.7,552.4
38,8,6,51.8,0.0,635.6,395.9
39,8,0,74.8,258.0,246.2,23.9
40,8,7,170.3,0.0,415.5,210.5
41,8,7,0.0,161.8,101.2,662.1
42,8,7,86.0,0.0,183.2,124.2
43,8,7,0.0,0.0,192.3,211.6
44,8,7,44.4,135.9,745.3,750.5
45,9,2,308.4,281.3,404.1,415.8
46,10,0,377.9,255.0,368.4,278.1
47,11,0,446.6,445.2,96.8,135.6
48,12,1,146.0,441.9,775.4,511.0
49,12,1,274.8,540.1,383.7,139.2
50,12,1,276.3,334.6,356.3,264.8
